Marital_status,Previous_qualification,Displaced,Debtor,tuition_paid,Gender,has_scholarship,enrollment_age,course_sem1_enrolled,course_sem1_evaluated,course_sem1_passed,course_sem1_grade,course_sem2_enrolled,course_sem2_evaluated,course_sem2_passed,course_sem2_grade,Target
1,0,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,1
1,0,1,0,0,1,0,19,6,6,6,14.0,6,6,6,13.666666666666666,0
1,0,1,0,0,1,0,19,6,0,0,0.0,6,0,0,0.0,1
1,0,1,0,1,0,0,20,6,8,6,13.428571428571429,6,10,5,12.4,0
2,0,0,0,1,0,0,45,6,9,5,12.333333333333334,6,6,6,13.0,0
1,0,1,0,1,0,1,18,7,9,7,13.3,8,8,8,14.345,0
1,0,1,0,0,1,0,22,5,5,0,0.0,5,5,0,0.0,1
1,0,0,0,1,0,1,21,6,8,6,13.875,6,7,6,14.142857142857142,0
1,0,1,1,0,0,0,18,6,9,5,11.4,6,14,2,13.5,1
1,0,1,0,1,0,0,18,6,6,6,12.333333333333334,6,7,5,14.2,0
1,0,1,0,1,0,1,18,8,8,7,13.214285714285714,8,8,7,13.214285714285714,0
1,0,1,0,1,0,0,19,6,6,0,0.0,6,0,0,0.0,1
1,0,1,0,1,0,1,18,5,7,4,13.25,5,5,5,12.0,0
1,0,1,0,1,0,0,20,6,6,5,13.2,6,7,0,0.0,1
1,0,1,0,1,0,0,18,7,8,7,13.30625,8,8,8,14.545,0
1,0,1,0,1,0,0,20,5,8,4,12.5,5,8,4,12.25,0
1,0,0,0,1,0,1,21,0,0,0,0.0,0,0,0,0.0,0
1,0,1,0,1,0,0,18,8,12,7,12.857142857142858,8,12,7,12.857142857142858,0
1,0,1,0,1,0,1,19,6,8,6,13.375,6,7,6,12.285714285714286,0
1,0,0,0,1,0,0,19,7,8,6,13.296666666666669,8,9,7,14.114285714285714,0
1,0,1,0,1,0,0,21,6,9,6,11.375,6,9,6,13.285714285714286,0
1,0,1,0,1,0,0,20,5,6,5,12.0,5,6,5,12.333333333333334,0
1,0,1,0,1,0,0,19,6,6,6,12.666666666666666,6,8,6,14.375,0
1,0,0,0,1,1,0,34,5,6,5,12.4,5,9,5,13.428571428571429,0
1,0,0,1,0,1,0,37,7,7,0,0.0,7,7,1,10.0,1
1,1,1,0,1,1,0,43,5,0,0,0.0,5,0,0,0.0,1
1,3,0,1,0,0,0,20,6,13,3,11.666666666666666,6,11,3,12.0,1
1,0,0,1,1,0,0,18,6,6,4,12.75,5,5,0,0.0,1
1,0,1,0,1,0,0,22,5,5,5,14.8,5,5,5,15.8,0
1,0,0,0,0,0,0,20,6,7,4,13.0,6,7,5,13.8,1
1,0,0,0,1,0,0,29,5,0,0,0.0,5,0,0,0.0,1
1,0,1,0,1,0,0,18,6,6,6,11.666666666666666,6,8,5,13.2,0
1,3,0,0,1,0,1,21,6,6,6,11.5,6,7,6,13.285714285714286,0
1,0,0,0,1,0,1,19,6,7,5,12.333333333333334,6,7,6,12.833333333333334,0
1,0,0,0,1,0,1,24,6,6,6,13.666666666666666,6,6,6,14.166666666666666,0
1,0,0,0,1,0,0,19,5,7,5,14.714285714285714,5,5,5,15.8,0
1,0,0,0,1,0,0,27,5,12,5,10.6,5,10,5,11.0,1
